name,abbreviation,home_field,nickname,bright_color,light_color,dark_color,twitter_list,league_id,sport_id
Top WoSo Journalists,T WOSO J,,T WOSO J,#16A7D5,"#00d37f""",,"<a class=""twitter-timeline"" data-link-color= ""#16A7D5"" data-border-color=#FF6600"" lang=""EN"" data-theme=""dark"" height=""3039"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/top-woso-journalists?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
WoSo Journalists,WOSO J,,WOSO J,#16A7D5,"#00d37f""",,"<a class=""twitter-timeline"" data-link-color=""#16A7D5"" data-border-color=""#00d37f"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/woso-journalists?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
Notable WoSo Accounts,N WOSO,,N WOSO,#16A7D5,#17a6d4,,"<a class=""twitter-timeline"" data-link-color=""#16A7D5"" data-border-color=""#17a6d4"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/notable-woso-accounts?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
Soccer Journalists,SOC J,,SOC J,#16A7D5,#FF6600,,"<a class=""twitter-timeline"" data-link-color=""#16A7D5"" data-border-color=""#FF6600"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/soccer-journalists?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
NWSL Accounts,NWSL,,NWSL,#C33431,#FFFFFF,#1F2D52,"<a class=""twitter-timeline"" data-link-color=""#C33431"" data-border-color=""#FFFFFF"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/nwsl?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
Chicago Redstars,CHI,Toyota Park,Redstars,#61B7E0,#C4353A,,"<a class=""twitter-timeline"" data-link-color=""#61B7E0"" data-border-color=""#C4353A"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""   href=""https://twitter.com/backcourtdribbl/lists/chicago-redstars?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>", ,
Houston Dash,HOU,BBVA Compass Stadium,Dash,#E86C32,#E7813D,#19407E,"<a class=""twitter-timelinel"" data-link-color=""#E86C32"" data-border-color=""#E7813D"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/houston-dash?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>", ,
North Carolina Courage,NC,WakeMed Soccer Park,Courage,#9F2035,#B3A272,#204268,"<a class=""twitter-timeline"" data-link-color=""#9F2035"" data-border-color=""#B3A272"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/north-carolina-courage?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>", ,
Orlando Pride,ORL,Orlando City Stadium,Pride,#47A0DD,#FFFFFF,#572D94,"<a class=""twitter-timeline"" data-link-color=""#47A0DD"" data-border-color=""#FFFFFF"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/orlando-pride?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>", ,
Portland Thorns,POR,Providence Park,Thorns,#8E2F30,#8E2F30,#1B471A,"<a class=""twitter-timeline"" data-link-color=""#8E2F30"" data-border-color=""#8E2F30"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/portland-thorns?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>", ,
