name,twitter handle,status,priorty
Janine Anthony,@ChiquaDiva,writer,2
Chelsey Bush,@ChelseyWrites,writer,1
Alan Campbell,@AlanCamSport,writer,2
Anthony DiCicco,@DiCiccoMethod,writer,1
JJ Duke,@JJDuke21,writer,1
Julie Foudy,@JulieFoudy,writer,1
John D. Halloran,@JohnDHalloran,writer,1
Rob Harris,@RobHarris,writer,2
Graham Hays,@grahamhays,writer,2
Angela Hucles,@angelahucles,writer,2
Jeff Kassouf,@JeffKassouf,writer,1
Dan Lauletta,@TheDanLauletta,writer,1
Richard Laverty,@RichJLaverty,writer,2
Allison Lee,@allibecc,writer,2
Tony Leighton,@Tony_Leighton,writer,2
Heather Mitts,@heathermitts,writer,1
Neil Morris,@ByNeilMorris,writer,3
Sophie Nicolaou,@soccerdiva,writer,3
Jen O'Neill,@SheKicksdotnet,writer,1
Jacqui Oatley,@JacquiOatley,writer,2
Leslie Osborne,@LeslieOsborne12,writer,1
Anne Peterson,@AnnieMPeterson,writer,2
Corey Roepken,@RipSports,writer,2
Emma Sanders,@em_sandy,writer,2
Jasmina Schweimler,@JasSchweimler,writer,1
Danielle Slaton,@daniellevslaton,writer,2
Jenny Taft,@JennyTaft,writer,2
Jonathan Tannenwald,@thegoalkeeper,writer,1
Kieran Theivam,@KiersTheivam,writer,1
Aly Wagner,@alywagner,writer,1
Grant Wahl,@GrantWahl,writer,2
Eric Wynalda,@EricWynalda,writer,2
Women's Soccer Weekly,@WoSoWeekly,writer,1
The Equalizer,@EqualizerSoccer,writer,1
Women's Soccer Zone,@WoSoZone,writer,1
The Women's Game,@TheWomensGame,writer,1
Ladies March,@LadiesMarch ‏,writer,2
Women's World Football Show,@WWFShowLive,writer,1
The Mixxed Zone,@MixxedZone,writer,1
American Touchline,@AmerTouchline,writer,3
Women's Soccer France,@WomensSoccerFR,writer,1
Soccer Insider,@SoccerInsider,writer,3
Paul Kennedy,@pkedit,writer,3
Jeff Carlisle,@JeffreyCarlisle,writer,3
Charles Boehm,@cboehm,writer,3
Beau Dure,@duresport,writer,3
Sebastian Salazar,@SebiSalazarFUT,writer,3
Kevin Egan,@kev_egan,writer,3
Brian Straus,@brianstraus,writer,3
Michael Lewis,@soccerwriter,writer,3
Alicia Rose DelGallo,@OSAliciaD,writer,3
Alexi Lalas,@alexiLalas,writer,3
Kevin Draper,@kevinmdraper,writer,3
Peter Nolan,@peter1nolan,writer,3
Gwendolyn Oxenham,@gwenoxenham ‏,writer,2
Anna Harrington,@AnnaHarrington,writer,1
Maggie Mertens,@maggiejmertens,writer,2
Thrace,@thrace,writer,1
WoSo Africa,@JWsports1 ‏,writer,2
Cheryl Downs,@ChicasFootball‏,writer,2
Maddie Lee,@maddie_m_lee ‏,writer,2
Jo Currie,@JoCurrie,writer,2
Keeper Notes,@keepernotes,writer,1
